UniqueCount	AmbigCount
0	6
0	6
0	7
0	7
0	10
0	7
0	6
0	10
0	6
0	7
0	7
0	7
0	6
0	6
0	7
0	6
0	7
0	7
0	6
0	10
0	6
0	7
0	6
0	6
0	6
0	7
0	6
1	0
0	1
0	340
0	1318
0	870
0	1316
0	1094
0	1276
0	1339
0	1303
0	942
0	1103
0	854
0	717
0	1281
0	1358
0	688
0	1348
0	1314
0	1126
0	176
0	967
0	679
0	1055
0	991
0	481
0	1015
0	1278
0	1091
0	364
0	810
0	718
0	1071
0	509
0	945
0	1333
0	1239
0	1242
0	931
0	1060
0	299
0	1275
0	1230
0	1017
0	1088
0	654
0	1305
0	1131
0	1376
0	378
0	1077
0	614
0	260
0	1031
0	1173
0	780
0	435
0	460
0	770
0	1166
0	891
0	1101
0	733
0	1258
0	1182
0	266
0	770
0	1128
0	726
0	239
0	586
0	600
0	576
0	1288
0	1188
0	1313
0	985
0	1304
0	1091
0	577
0	1299
0	1248
0	754
0	175
0	358
0	989
0	1346
0	696
0	1110
0	1298
0	1266
0	976
0	1351
0	1015
0	659
0	1172
0	1015
0	390
0	1075
0	261
0	276
0	549
0	1026
0	1199
0	983
0	437
0	265
0	419
0	969
0	1092
0	314
0	536
0	436
0	241
0	317
0	1048
0	883
0	869
0	1271
0	428
0	1205
0	349
0	757
0	1287
0	496
0	373
0	600
0	1348
0	516
0	976
0	1188
0	693
0	1298
0	801
0	1025
0	1345
0	872
0	1165
0	1287
0	1348
0	613
0	618
0	707
0	767
0	347
0	651
0	107
0	171
0	691
0	464
0	277
0	426
0	938
0	139
0	532
0	862
0	139
0	276
0	709
0	122
0	451
0	451
0	126
0	376
0	301
0	336
0	880
0	131
0	785
0	904
0	818
0	766
0	147
0	394
0	298
0	530
0	469
0	875
0	879
0	291
0	877
0	890
0	339
0	331
0	82
0	330
0	529
0	773
0	420
0	340
0	564
0	138
0	310
0	314
0	821
0	180
0	562
0	555
0	591
0	288
0	887
0	382
0	529
0	143
0	562
0	347
0	487
0	139
0	491
0	229
0	817
0	282
0	348
0	310
0	91
0	893
0	228
0	818
0	703
0	595
0	524
0	233
0	821
0	349
0	854
0	521
0	107
0	188
0	530
0	379
0	315
0	635
0	127
0	817
0	852
0	265
0	136
0	853
0	255
0	145
0	75
0	115
0	842
0	684
0	581
0	211
0	850
0	138
0	448
0	826
0	314
0	415
0	453
0	531
0	362
0	663
0	535
0	380
0	116
0	413
0	679
0	399
0	251
0	531
0	262
0	771
0	634
0	115
0	562
0	579
0	263
0	26
0	42
0	98
0	143
0	33
0	89
0	64
0	9
0	9
0	36
0	27
0	9
0	89
0	10
0	27
0	89
0	1150
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	126
0	78
0	92
0	142
0	7
0	139
1	75
0	149
0	136
0	76
0	0
0	95
0	69
0	158
0	154
0	142
0	28
0	56
0	4
97	12
0	13
0	77
0	76
0	95
0	146
0	75
0	139
0	145
0	75
0	139
0	94
0	209
0	205
0	135
0	128
0	135
0	126
0	70
0	76
6	69
0	53
0	42
0	53
0	49
0	10
0	35
0	34
0	59
0	35
0	35
0	34
0	59
0	34
0	34
0	34
0	33
0	70
0	0
0	0
0	0
1	0
0	37
0	52
2	12
0	19
0	172
0	0
0	0
0	20
0	19
0	24
0	3
0	24
0	20
0	24
0	19
0	23
0	24
0	19
0	19
0	19
0	19
0	19
0	28
0	19
0	24
0	20
0	28
0	20
0	24
0	24
0	24
0	20
0	20
0	24
0	20
0	19
0	19
0	20
0	24
0	24
0	20
0	24
0	19
0	24
0	19
0	19
0	24
0	24
0	28
0	55
0	1387
0	1091
0	438
0	936
0	1302
0	875
0	871
0	978
0	762
0	1369
0	702
0	835
0	1300
0	1199
0	798
0	1162
0	1406
0	1416
0	1203
0	1379
0	666
0	1168
0	1211
0	1305
0	1307
0	501
0	1379
0	1358
0	965
0	1462
0	1224
0	482
0	902
0	1329
0	1159
0	1370
0	1333
0	1333
0	688
0	398
