UniqueCount	AmbigCount
0	1
0	1
0	1
0	1
0	2
0	1
0	1
0	2
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	70
0	197
0	139
0	199
0	171
0	183
0	194
0	194
0	161
0	173
0	118
0	131
0	185
0	199
0	127
0	205
0	190
0	178
0	48
0	160
0	117
0	162
0	157
0	88
0	158
0	188
0	178
0	93
0	138
0	134
0	169
0	105
0	148
0	191
0	192
0	177
0	150
0	165
0	76
0	183
0	181
0	165
0	167
0	121
0	188
0	178
0	201
0	93
0	163
0	111
0	63
0	161
0	168
0	130
0	96
0	104
0	119
0	164
0	125
0	171
0	126
0	186
0	183
0	68
0	135
0	175
0	121
0	58
0	112
0	104
0	95
0	195
0	180
0	194
0	157
0	196
0	167
0	111
0	191
0	193
0	119
0	47
0	91
0	164
0	195
0	128
0	171
0	190
0	185
0	154
0	193
0	151
0	123
0	171
0	161
0	80
0	171
0	68
0	66
0	102
0	144
0	181
0	155
0	99
0	67
0	72
0	156
0	167
0	64
0	97
0	65
0	59
0	80
0	160
0	125
0	138
0	182
0	88
0	174
0	76
0	120
0	186
0	110
0	90
0	114
0	202
0	92
0	153
0	173
0	116
0	179
0	141
0	159
0	191
0	136
0	165
0	182
0	190
0	114
0	108
0	118
0	99
0	43
0	91
0	23
0	36
0	98
0	67
0	53
0	59
0	131
0	29
0	61
0	110
0	29
0	52
0	85
0	30
0	64
0	64
0	31
0	51
0	59
0	48
0	116
0	32
0	100
0	124
0	102
0	106
0	27
0	60
0	45
0	81
0	75
0	119
0	109
0	48
0	113
0	114
0	50
0	51
0	17
0	40
0	61
0	100
0	60
0	49
0	83
0	31
0	40
0	43
0	102
0	34
0	84
0	80
0	72
0	53
0	112
0	62
0	75
0	38
0	81
0	49
0	80
0	31
0	67
0	45
0	101
0	52
0	69
0	40
0	21
0	124
0	45
0	117
0	103
0	90
0	73
0	46
0	102
0	56
0	108
0	86
0	25
0	44
0	81
0	56
0	42
0	89
0	29
0	102
0	108
0	50
0	29
0	108
0	47
0	25
0	18
0	28
0	113
0	90
0	79
0	41
0	108
0	34
0	62
0	104
0	59
0	58
0	68
0	76
0	59
0	97
0	83
0	52
0	27
0	59
0	96
0	67
0	45
0	73
0	53
0	99
0	88
0	23
0	65
0	79
0	28
0	9
0	10
0	10
0	17
0	9
0	11
0	11
0	3
0	3
0	10
0	9
0	3
0	11
0	3
0	9
0	11
0	145
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
0	18
0	23
0	32
0	2
0	33
0	21
0	33
0	32
0	21
0	1
0	24
0	19
0	35
0	35
0	32
0	7
0	16
0	2
6	3
0	3
0	21
0	21
0	25
0	36
0	21
0	32
0	34
0	23
0	34
0	22
0	52
0	52
0	37
0	36
0	37
0	31
0	23
0	24
0	20
0	16
0	15
0	16
0	16
0	1
0	9
0	8
0	13
0	8
0	9
0	8
0	13
0	9
0	8
0	8
0	8
0	11
0	0
0	0
0	0
0	0
1	3
0	7
0	5
0	3
0	37
0	0
0	0
0	4
0	4
0	5
0	0
0	4
0	4
0	5
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	5
0	5
0	5
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	5
0	4
0	4
0	5
0	5
0	4
0	13
0	198
0	170
0	87
0	140
0	199
0	147
0	129
0	153
0	116
0	197
0	115
0	134
0	182
0	176
0	129
0	171
0	202
0	213
0	184
0	208
0	117
0	183
0	179
0	184
0	189
0	79
0	196
0	199
0	142
0	211
0	173
0	97
0	147
0	194
0	170
0	202
0	187
0	192
0	111
0	74
0	198
0	197
0	107
0	132
0	158
0	203
0	78
0	134
0	188
0	140
0	142
0	175
0	189
0	182
0	182
0	128
0	172
0	141
0	179
0	157
0	196
0	187
0	160
0	183
0	131
0	202
0	133
0	118
0	147
0	144
0	140
0	141
0	132
0	183
0	128
0	207
0	183
0	196
0	128
0	149
0	137
0	107
0	181
0	176
0	133
0	195
0	147
0	197
0	166
0	157
0	93
0	190
0	184
0	183
0	162
0	200
0	169
0	188
0	121
0	60
0	150
0	179
0	182
0	120
0	205
0	180
0	202
0	65
0	117
0	108
0	155
0	49
0	206
0	193
0	66
0	174
0	171
0	92
0	148
0	197
0	147
0	182
0	142
0	203
0	112
0	198
0	140
0	194
0	160
0	146
0	136
0	178
0	150
0	116
0	159
0	68
0	189
0	148
0	81
0	165
0	165
0	128
0	157
0	164
0	80
0	169
0	142
0	97
0	169
0	96
0	168
0	139
0	193
0	92
0	178
0	124
0	102
0	202
0	129
0	118
0	202
0	144
0	96
0	165
0	188
0	192
0	122
0	82
0	159
0	167
0	202
0	75
0	156
0	156
0	166
0	196
0	186
0	146
0	208
0	189
0	156
0	158
0	57
0	195
0	187
0	183
0	175
0	60
0	187
0	169
0	104
0	182
0	146
0	169
0	155
0	181
0	129
0	194
0	84
0	72
0	158
0	91
0	173
0	171
0	172
0	134
0	100
0	24
0	37
0	85
0	140
0	177
0	169
0	96
0	79
0	197
0	123
0	160
0	135
0	171
0	145
0	176
0	164
0	147
0	121
0	103
0	183
0	199
0	79
0	153
0	204
0	188
0	180
0	191
0	110
0	178
0	201
0	72
0	134
0	133
0	134
3	148
0	146
0	110
0	143
0	158
0	99
0	204
0	200
0	85
0	133
0	168
0	167
0	138
0	201
0	171
0	197
0	179
0	140
0	59
0	187
0	185
0	109
0	183
0	150
0	182
0	179
0	159
0	204
0	181
0	97
0	129
0	181
0	162
0	154
0	208
0	169
0	118
0	132
0	180
0	168
0	194
0	172
0	182
0	26
0	94
0	13
0	92
0	52
0	101
0	71
0	50
0	67
0	47
0	58
0	45
0	48
0	44
0	80
0	21
0	39
0	25
0	76
0	21
0	113
0	34
0	8
0	25
0	36
0	33
0	83
0	107
0	60
0	7
0	71
0	45
0	31
0	22
0	50
0	52
0	65
0	13
0	10
0	17
0	17
0	13
0	8
0	14
0	19
2	0
0	0
0	182
0	0
0	0
0	0
2	83
0	92
0	72
0	74
0	72
0	72
0	79
6	26
0	27
0	0
0	68
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	42
0	6
0	5
0	3
0	2
1	6
0	23
0	15
0	15
0	21
0	15
0	13
0	6
0	15
0	14
0	2
0	3
0	1
0	1
0	3
0	6
0	2
0	23
0	0
0	0
0	0
0	0
1	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	2
0	1
0	0
0	4
0	0
0	0
0	1
0	55
0	25
0	5
0	5
0	1
0	5
0	4
8	140
0	8
0	45
0	35
0	36
0	35
0	37
0	39
0	27
0	48
0	22
0	20
0	22
0	22
0	21
0	21
0	25
0	23
0	4
0	10
0	10
0	11
0	3
0	5
0	2
0	3
0	2
0	4
0	5
0	1
0	2
0	4
0	1
0	0
0	2
0	1
0	0
0	2
0	1
0	5
0	5
0	1
0	4
0	4
0	4
0	1
0	1
0	4
0	0
0	4
0	2
0	2
0	3
0	2
0	1
0	4
0	2
0	3
0	1
0	1
0	2
0	1
0	1
0	1
0	1
0	0
0	0
0	6
0	1
0	0
0	1
0	1
7	14
0	10
0	13
0	10
0	14
0	14
0	0
0	0
0	0
0	0
14	1992
334	14982
720	58598
0	0
8	1734
0	2
6543	10280
7	3800
0	0
0	0
0	0
0	0
0	0
0	7
0	1
0	1
0	1
0	1
0	1
0	0
0	6
0	0
0	0
0	1
0	0
0	0
0	5
0	0
0	0
0	0
1	1
1	1
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	5
0	0
0	0
0	1
0	1
0	5
0	1
2	3
0	8
1	5
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	1
2	9
0	1
0	0
0	3
0	0
0	0
